ano_campeonato,data,rodada,estadio,publico,publico_max,time_mandante,time_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante
2016,2016-09-15,25,Estádio Olímpico Nilton Santos,11883,46931,Botafogo,Santos FC,9,5,8900000,28750000,28.5,27.4
2016,2016-09-25,27,Estádio Estadual Kléber José de Andrade,13780,NA,Flamengo,Cruzeiro,2,15,26100000,31900000,28.4,27.5
2016,2016-10-09,29,Estádio Municipal Paulo Machado de Carvalho,21773,78838,Flamengo,Santa Cruz,2,19,24850000,5750000,28,27.4
2016,2016-10-23,32,Estádio Jornalista Mário Filho,54250,78838,Flamengo,Corinthians,2,6,27850000,22500000,29.5,27.5
2016,2016-10-13,30,Estádio General Sílvio Raulino de Oliveira,9008,NA,Fluminense,Flamengo,5,2,24250000,25100000,27.5,28.1
2016,2016-12-11,38,Arena Condá,NA,22600,Chapecoense,Atlético-MG,9,4,NA,NA,NA,NA
2016,2016-10-16,31,Estádio Beira-Rio,31981,56000,Internacional,Flamengo,17,2,21250000,26100000,27.8,28.5
2016,2016-05-22,2,Arena do Grêmio,17866,60540,Grêmio,Flamengo,9,5,38750000,25350000,28,27.1
2016,2016-05-29,4,Arena do Grêmio,12415,60540,Grêmio,Coritiba FC,2,11,35000000,12000000,26.4,30.2
2016,2016-06-05,6,Arena do Grêmio,16957,60540,Grêmio,Ponte Preta,2,10,29500000,10750000,27,27.9
2016,2016-06-20,9,Arena do Grêmio,16566,60540,Grêmio,Cruzeiro,3,17,NA,NA,NA,NA
2016,2016-06-30,12,Arena do Grêmio,14865,60540,Grêmio,Santos FC,5,3,30250000,38550000,26.2,25.1
2016,2016-07-10,14,Arena do Grêmio,34013,60540,Grêmio,Figueirense FC,3,15,30250000,10100000,26.3,27.3
2016,2016-07-24,16,Arena do Grêmio,37069,60540,Grêmio,São Paulo,3,9,22250000,29000000,27,28.5
2016,2016-08-05,18,Arena do Grêmio,16068,60540,Grêmio,Santa Cruz,4,18,25250000,7050000,27.2,29.3
2016,2016-08-14,20,Arena do Grêmio,46163,60540,Grêmio,Corinthians,6,3,26000000,28750000,27.6,26.5
2016,2016-08-28,22,Arena do Grêmio,30631,60540,Grêmio,Atlético-MG,6,2,41000000,23750000,27.4,29.5
2016,2016-09-12,24,Arena do Grêmio,19514,60540,Grêmio,Palmeiras,6,1,42000000,39600000,26.8,27.8
2016,2016-09-25,27,Arena do Grêmio,11152,60540,Grêmio,Chapecoense,11,10,43000000,10500000,26.4,25.7
2016,2016-10-13,30,Arena do Grêmio,16123,60540,Grêmio,Atlético-PR,8,6,41500000,16750000,27.5,25.5
2016,2016-10-23,32,Arena do Grêmio,53287,60540,Grêmio,Internacional,8,16,48000000,27500000,26.8,26.2
2016,2016-11-20,36,Arena do Grêmio,10765,60540,Grêmio,América-MG,8,20,11450000,5650000,23.8,26.3
